event_id,event_name,event_date,venue_name,city,state,country,page_number,item_position,caption,extracted_nicknames,source_type,evidence_status,privacy_tier,notes
cb_ircontro_20010221_rosa_dos_ventos,Despedida da Ana Paula Barra,2001-02-21,Rosa dos Ventos,Rio de Janeiro,RJ,Brazil,2,3,JUNIOR,JUNIOR,founder_provided_caption,partially_documented,nickname_level_only,Caption transcribed from founder-provided screenshot/page text.
cb_ircontro_20010221_rosa_dos_ventos,Despedida da Ana Paula Barra,2001-02-21,Rosa dos Ventos,Rio de Janeiro,RJ,Brazil,2,4,Nanda_RJ e CAVAquinhu,Nanda_RJ; CAVAquinhu,founder_provided_caption,partially_documented,nickname_level_only,Caption transcribed from founder-provided screenshot/page text.
cb_ircontro_20010221_rosa_dos_ventos,Despedida da Ana Paula Barra,2001-02-21,Rosa dos Ventos,Rio de Janeiro,RJ,Brazil,2,5,Fuska^66 e BabyLou,Fuska^66; BabyLou,founder_provided_caption,partially_documented,nickname_level_only,Caption transcribed from founder-provided screenshot/page text.
cb_ircontro_20010221_rosa_dos_ventos,Despedida da Ana Paula Barra,2001-02-21,Rosa dos Ventos,Rio de Janeiro,RJ,Brazil,2,6,Mitcha e CAVA,Mitcha; CAVA,founder_provided_caption,partially_documented,nickname_level_only,Caption transcribed from founder-provided screenshot/page text.
cb_ircontro_20010221_rosa_dos_ventos,Despedida da Ana Paula Barra,2001-02-21,Rosa dos Ventos,Rio de Janeiro,RJ,Brazil,2,7,"donanfer, Lilgus e {Kadu}","donanfer; Lilgus; {Kadu}",founder_provided_caption,partially_documented,nickname_level_only,Caption transcribed from founder-provided screenshot/page text.
cb_ircontro_20010221_rosa_dos_ventos,Despedida da Ana Paula Barra,2001-02-21,Rosa dos Ventos,Rio de Janeiro,RJ,Brazil,2,8,Aratanha,Aratanha,founder_provided_caption,partially_documented,nickname_level_only,Caption transcribed from founder-provided screenshot/page text.
cb_ircontro_20010221_rosa_dos_ventos,Despedida da Ana Paula Barra,2001-02-21,Rosa dos Ventos,Rio de Janeiro,RJ,Brazil,2,9,Marssel e Joaninha,Marssel; Joaninha,founder_provided_caption,partially_documented,nickname_level_only,Caption transcribed from founder-provided screenshot/page text.
cb_ircontro_20010221_rosa_dos_ventos,Despedida da Ana Paula Barra,2001-02-21,Rosa dos Ventos,Rio de Janeiro,RJ,Brazil,2,10,Mr_Angelo e |-THOR-|,Mr_Angelo; |-THOR-|,founder_provided_caption,partially_documented,nickname_level_only,Caption transcribed from founder-provided screenshot/page text.
cb_ircontro_20010221_rosa_dos_ventos,Despedida da Ana Paula Barra,2001-02-21,Rosa dos Ventos,Rio de Janeiro,RJ,Brazil,2,11,"{kadu}, Joaninha e Mitcha","{kadu}; Joaninha; Mitcha",founder_provided_caption,partially_documented,nickname_level_only,Caption transcribed from founder-provided screenshot/page text.
cb_ircontro_20010221_rosa_dos_ventos,Despedida da Ana Paula Barra,2001-02-21,Rosa dos Ventos,Rio de Janeiro,RJ,Brazil,2,12,Magho Mad e Carol-Super-Love,Magho; Mad; Carol-Super-Love,founder_provided_caption,partially_documented,nickname_level_only,Caption transcribed from founder-provided screenshot/page text.
