record_id,meeting_date,source_id,list_position,access_level,display_nickname,match_2002_11_28_snapshot,match_type,possible_2002_variant,transcription_status,privacy_classification,civil_identity_linked,sensitive_data_included,notes
cb_access_19990623_024,1999-06-23,chanserv_access_list_19990623_photo,24,5,negaum-barra,found,exact,negaum-barra,visual_transcription_needs_review,historical_public_nickname,false,false,
cb_access_19990623_025,1999-06-23,chanserv_access_list_19990623_photo,25,5,Rafa-Barra,not_found,not_found_exact,,visual_transcription_needs_review,historical_public_nickname,false,false,
cb_access_19990623_026,1999-06-23,chanserv_access_list_19990623_photo,26,5,barra,not_found,not_found_exact,,visual_transcription_needs_review,historical_public_nickname,false,false,
cb_access_19990623_027,1999-06-23,chanserv_access_list_19990623_photo,27,5,Lena-Barra,found,exact,Lena-Barra,visual_transcription_needs_review,historical_public_nickname,false,false,
cb_access_19990623_028,1999-06-23,chanserv_access_list_19990623_photo,28,5,Ferris_Builler,not_found,not_found_exact,,visual_transcription_needs_review,historical_public_nickname,false,false,
cb_access_19990623_029,1999-06-23,chanserv_access_list_19990623_photo,29,5,JU-RJ,not_found,not_found_exact,,visual_transcription_needs_review,historical_public_nickname,false,false,Older operator/access-list identity absent from 2002 snapshot; supports turnover analysis.
cb_access_19990623_030,1999-06-23,chanserv_access_list_19990623_photo,30,5,Ze-Carioca,not_found,not_found_exact,,visual_transcription_needs_review,historical_public_nickname,false,false,
cb_access_19990623_031,1999-06-23,chanserv_access_list_19990623_photo,31,5,ClarinhaM,not_found,not_found_exact,,visual_transcription_needs_review,historical_public_nickname,false,false,Founder referred to the older operator as ClaraM; visual list appears as ClarinhaM.
cb_access_19990623_032,1999-06-23,chanserv_access_list_19990623_photo,32,5,candyha,not_found,not_found_exact,,visual_transcription_needs_review,historical_public_nickname,false,false,
cb_access_19990623_033,1999-06-23,chanserv_access_list_19990623_photo,33,5,Chellih[PANDORA],not_found,not_found_exact,,visual_transcription_needs_review,historical_public_nickname,false,false,
cb_access_19990623_034,1999-06-23,chanserv_access_list_19990623_photo,34,5,Pi_Siu,not_found,not_found_exact,,visual_transcription_needs_review,historical_public_nickname,false,false,
cb_access_19990623_035,1999-06-23,chanserv_access_list_19990623_photo,35,5,Jessy_,not_found,not_found_exact,,visual_transcription_needs_review,historical_public_nickname,false,false,
cb_access_19990623_036,1999-06-23,chanserv_access_list_19990623_photo,36,5,Indomada,not_found,not_found_exact,,visual_transcription_needs_review,historical_public_nickname,false,false,
cb_access_19990623_037,1999-06-23,chanserv_access_list_19990623_photo,37,5,CELY,not_found,not_found_exact,,visual_transcription_needs_review,historical_public_nickname,false,false,
cb_access_19990623_038,1999-06-23,chanserv_access_list_19990623_photo,38,5,_ANGRA,not_found,not_found_exact,,visual_transcription_needs_review,historical_public_nickname,false,false,
cb_access_19990623_039,1999-06-23,chanserv_access_list_19990623_photo,39,5,Honeyzinha,not_found,possible_variant,Honeyzinha_,visual_transcription_needs_review,historical_public_nickname,false,false,Possible variant only; not treated as confirmed match.
cb_access_19990623_040,1999-06-23,chanserv_access_list_19990623_photo,40,5,Lisa-Barra,found,exact,Lisa-Barra,visual_transcription_needs_review,historical_public_nickname,false,false,
cb_access_19990623_041,1999-06-23,chanserv_access_list_19990623_photo,44,5,Sectoid,not_found,not_found_exact,,visual_transcription_needs_review,historical_public_nickname,false,false,
cb_access_19990623_042,1999-06-23,chanserv_access_list_19990623_photo,46,5,PattyKiss,not_found,not_found_exact,,visual_transcription_needs_review,historical_public_nickname,false,false,
