display_nickname,lookup_nickname,source,match_type,confidence,notes
tchetchelo,tchetchelo_Anestesiado,uff_2004_anexo_2,explicit_nick_change,high,Explicit nick change
Thati_-RJ,Thati_-RJ,uff_2004_anexo_2,exact,high,Canonical nickname family
Thati_-RJ,thåtï_-®j,uff_2004_anexo_2,possible_stylized_variant,low,Stylized nick family needs human confirmation
Thiffany,Thiffany,uff_2004_anexo_2,exact,high,Message lines
TO_NERDANDO_AKI,TO_NERDANDO_AKI[FLUmeio`off],uff_2004_anexo_2,status_variant,high,Status suffix collapsed
TO-NEM_AI,To_Nem_Aii,uff_2004_anexo_2,explicit_nick_change,high,Explicit nick change
TO-NEM_AI,TO-NEM_AI,uff_2004_anexo_2,exact,high,Canonical after explicit nick change
Tom_del0nge_182,Tom_del0nge_182,uff_2004_anexo_2,exact,high,Message/mention lines
Toulouse_RJ,Toulouse_RJ,uff_2004_anexo_2,exact,high,Canonical nickname
Toulouse_RJ,Toulouse_RJ|OFF|,uff_2004_anexo_2,status_variant,high,Off suffix collapsed
Tuna_,Tuna_,uff_2004_anexo_2,exact,high,Join/message/kick lines
tunazuda,tunazuda,uff_2004_anexo_2,exact,high,Message line
VaNZaN,VaNZaN,uff_2004_anexo_2,exact,high,Canonical nickname
VaNZaN,VaNZaN[CHICLETAO],uff_2004_anexo_2,explicit_nick_change,high,Chiclete joke variant collapsed under VaNZaN
VaNZaN,GV,uff_2004_anexo_2,explicit_nick_change,high,Log shows VaNZaN agora e GV
valente,valente,uff_2004_anexo_2,exact,high,Message line
VouSozinhaMesmoPraAxeJurney,VouSozinhaMesmoPraAxeJurney,uff_2004_anexo_2,exact,high,Quit line
XEIHZ,XEIHZ,uff_2004_anexo_2,exact,high,Message/status-script line
ZoIo_AzUl_SuRf_RoCk,ZoIo_AzUl_SuRf_RoCk,uff_2004_anexo_2,exact,high,Quit line
