normalized_nickname_key,display_nickname_examples,irc_syntax_status,irc_syntax_invalid_examples,registered_in_2002_cadastros,cadastro_segments,cadastro_record_ids,operator_or_master,operator_access_levels,operator_source_records,present_in_ircontro,ircontro_event_ids,ircontro_event_names,ircontro_source_records,participation_profile,evidence_scope,privacy_scope,notes
^nanas^,^nanas^,all_examples_valid,,true,female,cb_20021128_0979,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
^paulinhagump^^,*^PaulinhaGump^^,no_examples_valid,*^PaulinhaGump^^,true,female,cb_20021128_0970,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
^samy^,^samy^,all_examples_valid,,false,,,true,,cb_access_200012_012,false,,,,operator_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
^xandy_rj^,^XanDy_RJ^,all_examples_valid,,true,male,cb_20021128_0043,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
^{oo|gaz|oo}^,^{oO|GAZ|Oo}^,all_examples_valid,,true,male,cb_20021128_0042,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
`florzinha`sk8`,`FLorZinHa`Sk8`,all_examples_valid,,true,female,cb_20021128_0989,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
`kathryn-copa`,`kathryn-copa`,all_examples_valid,,true,female,cb_20021128_0990,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
a-arthuzinhu-bcs-bob,A-Arthuzinhu-BcS-BoB,all_examples_valid,,true,male,cb_20021128_0083,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
a-bella,A-BELLA,all_examples_valid,,true,female,cb_20021128_1007,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
a_carioca_21,A_CARIOCA_21,all_examples_valid,,true,female,cb_20021128_1001,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
a_carioquinha_da_barra,a_carioquinha_da_barra,all_examples_valid,,false,,,true,,cb_access_200012_021,false,,,,operator_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
a_ciclista,A_Ciclista,all_examples_valid,,true,female,cb_20021128_1002,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
a_gota_cerol_fininho,A_GOTA_Cerol_Fininho,all_examples_valid,,true,male,cb_20021128_0082,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
a_sedutora,A_Sedutora_,all_examples_valid,,true,female,cb_20021128_1003,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
aak_lua,AAK_LUA,all_examples_valid,,true,female,cb_20021128_1004,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
aaliyah,Aaliyah,all_examples_valid,,true,female,cb_20021128_1005,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
ab,AB',no_examples_valid,AB',true,female,cb_20021128_1006,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
acai-com-granola-rj,acai-com-granola-rj,all_examples_valid,,true,male,cb_20021128_0084,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
advogata_rj,Advogata_rj,all_examples_valid,,true,female,cb_20021128_0960,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
advogato23_rj,Advogato23_RJ,all_examples_valid,,true,male,cb_20021128_0086,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
advogato_usa,advogato_usa,all_examples_valid,,true,male,cb_20021128_0085,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
afrociberdelia,Afrociberdelia,all_examples_valid,,true,male,cb_20021128_0087,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
agentejc,Agentejc,all_examples_valid,,true,male,cb_20021128_0088,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
aguia,aguia,all_examples_valid,,true,male,cb_20021128_0089,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
ah_juninho_paulista,AH_JUNINHO_PAULISTA,all_examples_valid,,true,male,cb_20021128_0090,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
alejandro-21-usa,Alejandro-21-USA,all_examples_valid,,true,male,cb_20021128_0091,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
alexandre,Alexandre,all_examples_valid,,true,male,cb_20021128_0092,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
alexandre_18,alexandre_18,all_examples_valid,,true,male,cb_20021128_0093,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
alexandrehenrique,AlexandreHenrique,all_examples_valid,,true,male,cb_20021128_0094,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
alicinh,ALICINH@,no_examples_valid,ALICINH@,true,female,cb_20021128_1008,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
alinizinh4,aLiNiZiNh4,all_examples_valid,,true,female,cb_20021128_1009,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
all-rj,ALL-RJ,all_examples_valid,,true,male,cb_20021128_0096,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
alladin,Alladin,all_examples_valid,,true,male,cb_20021128_0095,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
aloha,*>ALOHA<* | aloha,mixed_examples,*>ALOHA<*,true,male,cb_20021128_0028 | cb_20021128_0097,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
alvinho,Alvinho,all_examples_valid,,true,male,cb_20021128_0098,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
amanda_22,Amanda_22,all_examples_valid,,true,female,cb_20021128_1010,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
amandinha,Amandinha,all_examples_valid,,true,female,cb_20021128_1011,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
amandinha_geuh_seawa,AmAnDiNhA_gEuH_sEaWa,all_examples_valid,,true,female,cb_20021128_1012,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
amandita-rj,Amandita-RJ,all_examples_valid,,true,female,cb_20021128_1013,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
amiga_barra_17,Amiga_Barra_17,all_examples_valid,,true,female,cb_20021128_1014,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
amigo_da_barra,Amigo da Barra,no_examples_valid,Amigo da Barra,true,male,cb_20021128_0099,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
ana_expert,Ana Expert,no_examples_valid,Ana Expert,true,female,cb_20021128_1015,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
anabiaa,anabiaa,all_examples_valid,,true,female,cb_20021128_1016,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
anddinho,Anddinho,all_examples_valid,,true,male,cb_20021128_0100,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
anderson_sampa,Anderson Sampa,no_examples_valid,Anderson Sampa,true,male,cb_20021128_0101,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
andmax22-rj,Andmax22-RJ,all_examples_valid,,true,male,cb_20021128_0102,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
andre,Andre______,all_examples_valid,,true,male,cb_20021128_0103,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
andrejpa,AndreJPA,all_examples_valid,,true,male,cb_20021128_0104,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
andrezim,Andrezim,all_examples_valid,,true,male,cb_20021128_0105,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
andy,Andy,all_examples_valid,,true,female,cb_20021128_1017,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
angel,Angel,all_examples_valid,,true,female,cb_20021128_1018,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
angelino_julio,Angelino Julio,no_examples_valid,Angelino Julio,true,male,cb_20021128_0106,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
angelnine,Angelnine,all_examples_valid,,true,female,cb_20021128_1019,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
aninha,aNInHA,all_examples_valid,,true,female,cb_20021128_1020,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
aninha-puc,ANINHA-PUC,all_examples_valid,,true,female,cb_20021128_1021,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
anjinha,Anjinha,all_examples_valid,,true,female,cb_20021128_1022,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
anjinha__rj,Anjinha__RJ,all_examples_valid,,true,female,cb_20021128_1024,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
anjinha_da_barra,anjinha_da_barra,all_examples_valid,,true,female,cb_20021128_1025,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
anjinha_de_asa_delta,Anjinha de Asa Delta,no_examples_valid,Anjinha de Asa Delta,true,female,cb_20021128_1023,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
anjinha_lili,Anjinha_Lili,all_examples_valid,,true,female,cb_20021128_1026,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
anjinho_do_leblon,anjinho do leblon,no_examples_valid,anjinho do leblon,true,male,cb_20021128_0107,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
anjo_a_e,ANJO_A_E,all_examples_valid,,true,male,cb_20021128_0108,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
anjo_do__surf,Anjo_do__SuRf,all_examples_valid,,true,male,cb_20021128_0109,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
anjo_recreio,AnJo_ReCrEiO,all_examples_valid,,true,male,cb_20021128_0110,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
anj|nh0,Anj|nh0,all_examples_valid,,true,male,cb_20021128_0016,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
anna_flavia,Anna_Flavia,all_examples_valid,,true,female,cb_20021128_1027,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
anninhaxinha_recreio,AnNiNhAXiNhA_ReCrEiO,all_examples_valid,,true,female,cb_20021128_1028,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
ap0c,Ap0c,all_examples_valid,,true,male,cb_20021128_0111,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
apenas_esperto,ApenaS_Esperto,all_examples_valid,,true,male,cb_20021128_0112,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
aphroditerj,AphroditeRJ,all_examples_valid,,true,female,cb_20021128_1029,false,,,true,cb_reveillon_2000_2001_post_reveillon,Canal Barra Reveillon 2000-2001 / post-Reveillon gathering,data/raw/ircontros/reveillon-2000-2001-post-reveillon.csv,registered_present_in_ircontro,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
apollo_rj,Apollo RJ,no_examples_valid,Apollo RJ,true,male,cb_20021128_0113,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
aratanha,Aratanha,all_examples_valid,,true,male,cb_20021128_0114,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
ariano26zs,Ariano26zs,all_examples_valid,,true,male,cb_20021128_0115,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
arkilon,Arkilon,all_examples_valid,,true,male,cb_20021128_0116,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
arnold_sw,Arnold_Sw,all_examples_valid,,true,male,cb_20021128_0117,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
arrozz,ArrozZ,all_examples_valid,,true,male,cb_20021128_0118,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
arthur,Arthur,all_examples_valid,,true,male,cb_20021128_0119,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
arthur_barra,Arthur_Barra,all_examples_valid,,true,male,cb_20021128_0120,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
as_meninas,As Meninas,no_examples_valid,As Meninas,true,female,cb_20021128_1030,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
askabull,ASKABULL,all_examples_valid,,true,male,cb_20021128_0121,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
augustocesar,AugustoCesar,all_examples_valid,,true,male,cb_20021128_0122,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
avatarado,Avatarado,all_examples_valid,,true,male,cb_20021128_0123,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
axl_rose-rj,AXL ROSE-RJ,no_examples_valid,AXL ROSE-RJ,true,male,cb_20021128_0124,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
ayrez^tha^dexman,ayrez^tha^dexman,all_examples_valid,,true,male,cb_20021128_0125,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
azzarro-rj,Azzarro-RJ,all_examples_valid,,true,male,cb_20021128_0126,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
azzeitonna_rj,AzzEitoNNa_RJ,all_examples_valid,,true,male,cb_20021128_0127,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
b,***B!@***,no_examples_valid,***B!@***,true,female,cb_20021128_0965,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
b4d_b0y,_B4D_B0Y_,all_examples_valid,,true,male,cb_20021128_0049,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
babaloo,BaBaloo,all_examples_valid,,true,female,cb_20021128_0972,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
babbi_diesel,Babbi Diesel,no_examples_valid,Babbi Diesel,true,female,cb_20021128_1032,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
babygirl_usa,BabYGirL_USA,all_examples_valid,,true,female,cb_20021128_1033,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
babylou,BabyLou,all_examples_valid,,true,female,cb_20021128_1034,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
bad_boy,BAD(\ /)BOY,no_examples_valid,BAD(\ /)BOY,true,male,cb_20021128_0128,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
badcoyote,BadCoyote,all_examples_valid,,true,male,cb_20021128_0129,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
badguy-,badguy-,all_examples_valid,,true,male,cb_20021128_0130,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
baiana_recreio,Baiana_Recreio,all_examples_valid,,true,female,cb_20021128_1035,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
baiano,Baiano,all_examples_valid,,true,male,cb_20021128_0131,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
ballantines,Ballantines,all_examples_valid,,true,male,cb_20021128_0132,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
bam_bam_u1000d,Bam_Bam_U1000D,all_examples_valid,,true,male,cb_20021128_0133,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
bandido,Bandido,all_examples_valid,,true,male,cb_20021128_0134,false,,,false,,,,registered_only,historical_nickname_level_only,no_civil_identity_inference,"This index joins nickname-level evidence only. It does not infer civil identity, residence or private relationships."
